max_depth,min_samples_split,criterion,train_F1-Score,train_Acc,validation_F1-Score,validation_Acc,weighted_score
5,10,gini,0.14155831459575718,0.1006015037593985,0.11427182105519086,0.0789172932330827,0.08952365157971515
5,20,gini,0.14285714285714285,0.10090225563909774,0.11384690394929302,0.07885714285714286,0.0893540711847879
5,2,gini,0.140776224459869,0.10010025062656641,0.11366678836558355,0.07843609022556391,0.0890052996675698
9,10,gain,0.13929475939996103,0.09914786967418546,0.11697885196374623,0.07909774436090225,0.09046207664175544
7,50,gain,0.14212294919944654,0.10120300751879699,0.11169885594784106,0.07855639097744362,0.08849913046856284
5,50,gini,0.141132224861441,0.10105263157894737,0.11295273173726214,0.0790375939849624,0.08921213531065232
5,20,gain,0.1415529596544616,0.10040100250626566,0.11340584137846756,0.07933834586466165,0.08955859451880342
3,20,gain,0.14009471191791634,0.10025062656641603,0.11232105713936132,0.07969924812030076,0.08948579082601893
5,20,gini,0.14227086183310536,0.10075187969924812,0.11297784270757243,0.07873684210526316,0.08900914228595594
3,10,gini,0.14009471191791634,0.10025062656641603,0.11232105713936132,0.07969924812030076,0.08948579082601893
5,20,gini,0.14173537495092267,0.1006516290726817,0.1136919315403423,0.07897744360902256,0.08939178998841849
3,10,gain,0.14009471191791634,0.10025062656641603,0.11232105713936132,0.07969924812030076,0.08948579082601893
3,2,gain,0.14009471191791634,0.10025062656641603,0.11232105713936132,0.07969924812030076,0.08948579082601893
9,10,gini,0.13947599103925198,0.10010025062656641,0.11449363250454819,0.07795488721804511,0.08891651080399603
5,20,gain,0.1423655491102153,0.1005513784461153,0.11355849241311794,0.07933834586466165,0.08960438982919854
7,50,gain,0.1411811493338636,0.10110275689223058,0.11204551075933714,0.0789172932330827,0.08885575849095903
7,20,gain,0.1409691629955947,0.10040100250626566,0.1128717698683569,0.07819548872180451,0.08859837306577023
7,50,gini,0.1419533412415975,0.10100250626566416,0.1118195193722413,0.07801503759398497,0.08815638212746187
7,50,gain,0.14226190476190476,0.1012531328320802,0.11160493827160495,0.07873684210526316,0.08859727095516569
3,20,gini,0.14009471191791634,0.10025062656641603,0.11232105713936132,0.07969924812030076,0.08948579082601893
9,10,gain,0.13897044431395575,0.0993483709273183,0.11543134872417983,0.0786766917293233,0.08970308882778025
9,10,gain,0.13875878220140514,0.0993984962406015,0.11483137918530159,0.07873684210526316,0.08956520322927469
3,2,gini,0.14009471191791634,0.10025062656641603,0.11232105713936132,0.07969924812030076,0.08948579082601893
3,2,gain,0.14009471191791634,0.10025062656641603,0.11232105713936132,0.07969924812030076,0.08948579082601893
3,50,gain,0.14009471191791634,0.10025062656641603,0.11232105713936132,0.07969924812030076,0.08948579082601893
7,10,gain,0.14012116474496775,0.09979949874686717,0.11531443863276974,0.0789172932330827,0.08983643685298881
9,20,gain,0.14057445348495246,0.10030075187969925,0.1131337813072694,0.07843609022556391,0.08884539755007556
5,50,gini,0.14116016630370226,0.10105263157894737,0.11289728801079887,0.07909774436090225,0.08923760745587123
7,2,gini,0.13924050632911392,0.0993984962406015,0.1143486777668952,0.07861654135338346,0.08933618227743698
5,10,gain,0.14083954491957631,0.09989974937343359,0.11436235064618387,0.07939849624060151,0.08988765256227621
3,20,gain,0.14009471191791634,0.10025062656641603,0.11232105713936132,0.07969924812030076,0.08948579082601893
9,50,gini,0.1425464610517991,0.10115288220551379,0.11187438665358194,0.07807518796992481,0.08821494757502193
5,20,gini,0.14159639144930378,0.1006015037593985,0.11371973587674247,0.07885714285714286,0.08931592076302275
7,10,gini,0.14110969762207654,0.10025062656641603,0.11318909668744652,0.07801503759398497,0.08856725532202343
9,10,gain,0.13891606339268248,0.09909774436090225,0.11483137918530159,0.07873684210526316,0.08956520322927469
5,50,gain,0.1402633679169992,0.1006516290726817,0.11390367710783707,0.07993984962406014,0.0901289978691932
9,2,gain,0.13893719806763288,0.09889724310776943,0.11434038990551369,0.07873684210526316,0.08941790644533831
7,20,gini,0.143585719890153,0.10130325814536341,0.11002205341827984,0.07681203007518797,0.08677503707811553
9,2,gain,0.1393505991495941,0.09894736842105263,0.11443683134992186,0.07861654135338346,0.08936262835234497
3,2,gain,0.14009471191791634,0.10025062656641603,0.11232105713936132,0.07969924812030076,0.08948579082601893
