max_depth,min_samples_split,criterion,train_F1-Score,train_Acc,validation_F1-Score,validation_Acc,weighted_score
7,10,gain,0.3362609786700125,0.3239796685614605,0.11337209302325582,0.07897744360902256,0.08929583843329253
8,10,gain,0.33588402839773834,0.3238894402839183,0.11376235237406604,0.07927819548872181,0.08962344255432508
9,10,gain,0.335662850224101,0.32372402177509096,0.11555555555555555,0.0795187969924812,0.0903298245614035
10,10,gain,0.3361076903477854,0.3236789076363199,0.11637672465506897,0.07981954887218046,0.09078670160704701
11,10,gain,0.337066236001615,0.32423531534783,0.11595949855351977,0.07885714285714286,0.08998784956605593
3,50,gain,0.32586002637637757,0.327694065986947,0.11223694466095091,0.0806015037593985,0.09009213602986421
4,50,gain,0.33910149750415974,0.3221450269181028,0.11423860558238134,0.07897744360902256,0.08955579220103019
5,50,gain,0.3357723231377887,0.32372402177509096,0.11159525538610506,0.0790375939849624,0.0888048924053052
6,50,gain,0.3371611725499352,0.3241300490240308,0.11164465786314527,0.078796992481203,0.08865129209578568
7,50,gain,0.33659149470814964,0.32459622845799874,0.11205227492739595,0.07909774436090225,0.08898410353085036
3,10,gain,0.3258725935201127,0.3277542181719751,0.11223694466095091,0.0806015037593985,0.09009213602986421
4,10,gain,0.3391099923024112,0.3221901410568739,0.11422515308525671,0.07897744360902256,0.08955175645189281
5,10,gain,0.33600883339703574,0.32340822280369336,0.11213146447559207,0.07909774436090225,0.0890078603953092
6,10,gain,0.3370130694074356,0.3229871575084965,0.1137372525494901,0.07909774436090225,0.0894895968174786
7,10,gain,0.33569017134849355,0.3235435652200066,0.11366384522370013,0.07933834586466165,0.0896359956723732
